artistName,trackName,Real Time,Status,Hour,Day
10CM,Gradation,201.28,Full Play,9,Saturday
10CM,What The Spring??,205.751,Full Play,10,Saturday
10CM,My Eyes,157.0,Full Play,10,Saturday
10CM,But it's Destiny,4.456,Skip,2,Friday
175R,空に唄えば,16.3,Partial Play,1,Saturday
175R,ハッピーライフ,159.428,Full Play,2,Sunday
175R,夢で逢えたなら・・・,276.272,Full Play,2,Sunday
1set,My Beating Heart,189.015,Full Play,1,Monday
20 Years of Age,I'm Right Outside,175.96,Full Play,0,Monday
20 Years of Age,Shall We Step Outside?,219.91,Full Play,13,Sunday
2NE1,COME BACK HOME - UNPLUGGED VER.,193.7,Full Play,9,Saturday
2NE1,COME BACK HOME,229.627,Full Play,5,Wednesday
2NE1,I AM THE BEST,0.928,Skip,17,Saturday
2NE1,Lonely,0.828,Skip,5,Monday
2NE1,멘붕 - CL SOLO,195.748,Full Play,14,Wednesday
40,Busan Hotel,211.985,Full Play,10,Wednesday
5 Seconds of Summer,Teeth,205.502,Full Play,15,Friday
5 Seconds of Summer,Easier,158.098,Full Play,9,Tuesday
7!!,オレンジ,38.074,Partial Play,8,Sunday
8TURN,You Are My Reason,4.295,Skip,5,Tuesday
9,魔弾戦記リュウケンドー (魔弾戦記リュウケンドー),9.237,Partial Play,1,Saturday
9001,Plastic Love - Instrumental,16.012,Partial Play,11,Sunday
9Lana,GAME,59.343,Full Play,4,Monday
9Lana,プロポーズ,234.093,Full Play,11,Friday
A Si,热爱105°C的你,195.328,Full Play,2,Thursday
A Si,致姗姗来迟的你,78.715,Full Play,2,Thursday
ABBA,Dancing Queen,230.4,Full Play,14,Monday
ACOURVE,The night we parted,229.665,Full Play,9,Saturday
AILEE,U & I,0.464,Skip,16,Saturday
AILEE,Mind Your Own Business,0.487,Skip,17,Saturday
AILEE,손대지마,1.532,Skip,17,Saturday
AILEE,I Will Go To You Like the First Snow,229.678,Full Play,10,Wednesday
AKMU,"How can I love the heartbreak, you're the one I love",290.095,Full Play,13,Wednesday
AKMU,RE-BYE,0.0,Skip,16,Tuesday
AKMU,I Love You,115.724,Full Play,2,Thursday
AKMU,How People Move,0.0,Skip,16,Tuesday
AKMU,Give Love,176.532,Full Play,7,Sunday
AKMU,DINOSAUR,240.571,Full Play,7,Sunday
AKMU,Be With You,186.749,Full Play,9,Wednesday
AKMU,200%,193.321,Full Play,8,Sunday
AKMU,Fry’s Dream,1.341,Skip,14,Monday
AKMU,Love Lee,24.925,Partial Play,7,Sunday
ALEPH,사탕가루,182.133,Full Play,10,Friday
ALI,CASANOVA POSSE - Anime Size,91.373,Full Play,6,Saturday
ALI,CASANOVA POSSE,240.653,Full Play,14,Thursday
ALI,Wild Side -Anime Ver.-,41.247,Partial Play,1,Saturday
ALI,LOST IN PARADISE,6.013,Partial Play,14,Thursday
ALI,Wild Side,158.5,Full Play,14,Tuesday
ALICE,You and I,222.72,Full Play,10,Tuesday
ALICE,No Big Deal,0.0,Skip,14,Tuesday
ALLDAY PROJECT,FAMOUS,160.43,Full Play,7,Saturday
ALLDAY PROJECT,WICKED,1.509,Skip,8,Saturday
AOA,Like a Cat,0.65,Skip,17,Saturday
AOA,Heart Attack,0.553,Skip,13,Tuesday
AOA,Miniskirt,179.808,Full Play,3,Sunday
AOA,Excuse Me,0.719,Skip,17,Saturday
AOA,Short Hair,0.023,Skip,17,Saturday
APRIL,Oh! my mistake,0.0,Skip,16,Tuesday
ARTMS,The Hitchhiker's Guide to the Galaxy,211.426,Full Play,12,Friday
ARTMS,Obsessed,19.606,Partial Play,14,Sunday
ARTMS,Icarus,20.781,Partial Play,12,Monday
ARTMS,Verified Beauty,167.32,Full Play,14,Sunday
ARTMS,Flower Rhythm,10.803,Partial Play,15,Friday
ARTMS,Candy Crush,180.6,Full Play,5,Monday
ASCA,Howling,247.853,Full Play,7,Saturday
ASCA,CHAIN,159.136,Full Play,11,Saturday
ASCA,RESISTER,227.08,Full Play,7,Saturday
ASIAN KUNG-FU GENERATION,遥か彼方,1.509,Skip,0,Sunday
ASIAN KUNG-FU GENERATION,アフターダーク,192.026,Full Play,6,Friday
